# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	239737
#@/user_id	0278165e-67a8-4678-b168-f946133cb532
bei ju 	被拒	c=1 d=3.561e-118 t=239737
bei ka 	北卡	c=1 d=2.36381e-62 t=239737
bei ke 	貝殼	c=2 d=0 t=239737
bei keng 	被坑	c=1 d=0 t=239737
bei lu 	北路	c=3 d=0 t=239737
bei lun 	悖論	c=4 d=4.91377e-24 t=239737
bei mian 	背面	c=1 d=4.64009e-85 t=239737
bei ren 	被人	c=16 d=0.318224 t=239737
bei shang 	北上	c=0 d=1.66848e-141 t=239737
bei shang guang 	北上廣	c=1 d=1.67684e-140 t=239737
bei shou gou 	被收購	c=1 d=4.84297e-206 t=239737
bei shu 	背書	c=8 d=4.12726e-30 t=239737
bei tai 	備胎	c=1 d=8.95014e-49 t=239737
bei wang lu 	備忘錄	c=1 d=0 t=239737
bei xuan 	備選	c=2 d=2.76626e-235 t=239737
bei ya 	背壓	c=4 d=0 t=239737
bei yong 	備用	c=1 d=1.11279e-22 t=239737
bei zhu 	備註	c=11 d=1.09414e-29 t=239737
bei zi 	杯子	c=2 d=0 t=239737
bei zi 	被子	c=8 d=2.35218e-32 t=239737
bei zi 	輩子	c=1 d=3.9656e-90 t=239737
ben 	本	c=21 d=2.64424e-28 t=239737
ben 	苯	c=1 d=6.55022e-141 t=239737
ben bang cai 	本幫菜	c=2 d=4.54202e-69 t=239737
ben ben 	本本	c=1 d=0 t=239737
ben bo 	奔波	c=1 d=2.42515e-128 t=239737
ben di 	本地	c=146 d=3.2559e-09 t=239737
ben di ren 	本地人	c=1 d=0 t=239737
ben fang 	奔放	c=3 d=1.09207e-183 t=239737
ben fen 	本分	c=1 d=0 t=239737
ben jiao 	苯教	c=1 d=4.99398e-38 t=239737
ben jin 	本金	c=3 d=1.45921e-34 t=239737
ben ke 	本科	c=3 d=6.4914e-35 t=239737
ben lai 	本來	c=125 d=0.462154 t=239737
ben ming 	本命	c=1 d=0 t=239737
ben qian 	本錢	c=6 d=5.7819e-85 t=239737
ben ren 	本人	c=1 d=0 t=239737
ben shen 	本身	c=95 d=5.91958e-09 t=239737
ben shi 	本事	c=4 d=2.89129e-20 t=239737
ben ti 	本體	c=29 d=5.21678e-169 t=239737
ben tou 	奔頭	c=3 d=7.58256e-10 t=239737
ben tu 	本土	c=1 d=2.01232e-21 t=239737
ben wu 	本無	c=1 d=0 t=239737
ben yue 	本月	c=2 d=0 t=239737
ben zhi 	本職	c=1 d=6.78959e-269 t=239737
ben zhi 	本質	c=48 d=2.01095e-13 t=239737
ben zhi shang 	本質上	c=7 d=0.212248 t=239737
ben zhou 	本週	c=32 d=0.00582847 t=239737
ben zi 	本子	c=2 d=0 t=239737
beng 	崩	c=2 d=3.61051e-104 t=239737
beng 	泵	c=1 d=3.59641e-58 t=239737
beng kui 	崩潰	c=6 d=3.20473e-25 t=239737
beng pan 	崩盤	c=1 d=6.81776e-112 t=239737
bi 	幣	c=119 d=6.12232e-14 t=239737
bi 	弊	c=1 d=4.47392e-09 t=239737
bi 	必	c=6 d=3.65363e-126 t=239737
bi 	比	c=252 d=0.339378 t=239737
bi 	碧	c=1 d=7.67499e-123 t=239737
bi 	筆	c=22 d=1.70032e-21 t=239737
bi 	逼	c=2 d=1.04649e-64 t=239737
bi an 	幣安	c=42 d=3.14822e-17 t=239737
